 -----------------------------------------------------------------------

                        WAMIT  Version 7.201(x64)      

     Copyright (c) 1999-2017 WAMIT Incorporated                        
     Copyright (c) 1998 Massachusetts Institute of Technology          

 -----------------------------------------------------------------------

     The WAMIT software performs computations of wave interactions with
     floating or submerged vessels.  WAMIT is a registered trademark of
     WAMIT Incorporated.  This copy of the WAMIT software is licensed to 

            Sandia National Laboratories                    
            1515 Eubank SE                                  
            Bldg 957                                        
            Albuquerque , NM 87123                          
            United States                                   
             
     for end use at the above site.        Release date: 06 Mar 2017

 -----------------------------------------------------------------------


 Low-order panel method  (ILOWHI=0)                                     
                                                                        
 Input from Geometric Data File:         cube_70.gdf                    
 GDF file created by cubit version 16.12.0                              
                                                                        
 Input from Potential Control File:      cube_70.pot                    
 ! Variable hydrodynamics - bottom-louvered cube at 70 degrees open     
                                                                        
                                                                        
 POTEN run date and starting time:        05-Mar-2025  --  11:25:10     
   Period       Time           RAD      DIFF  (max iterations)          
   -1.0000    11:25:11          -1                                      
    0.0000    11:25:11          -1                                      
   62.8319    11:25:11          -1      -1                              
   31.4159    11:25:11          -1      -1                              
   20.9440    11:25:11          -1      -1                              
   15.7080    11:25:11          -1      -1                              
   12.5664    11:25:11          -1      -1                              
   10.4720    11:25:11          -1      -1                              
    8.9760    11:25:11          -1      -1                              
    7.8540    11:25:11          -1      -1                              
    6.9813    11:25:11          -1      -1                              
    6.2832    11:25:11          -1      -1                              
    5.7120    11:25:11          -1      -1                              
    5.2360    11:25:11          -1      -1                              
    4.8332    11:25:11          -1      -1                              
    4.4880    11:25:11          -1      -1                              
    4.1888    11:25:11          -1      -1                              
    3.9270    11:25:11          -1      -1                              
    3.6960    11:25:11          -1      -1                              
    3.4907    11:25:11          -1      -1                              
    3.3069    11:25:11          -1      -1                              
    3.1416    11:25:11          -1      -1                              
    2.9920    11:25:11          -1      -1                              
    2.8560    11:25:11          -1      -1                              
    2.7318    11:25:11          -1      -1                              
    2.6180    11:25:12          -1      -1                              
    2.5133    11:25:12          -1      -1                              
    2.4166    11:25:12          -1      -1                              
    2.3271    11:25:12          -1      -1                              
    2.2440    11:25:12          -1      -1                              
    2.1666    11:25:12          -1      -1                              
    2.0944    11:25:12          -1      -1                              
    2.0268    11:25:12          -1      -1                              
    1.9635    11:25:12          -1      -1                              
    1.9040    11:25:12          -1      -1                              
    1.8480    11:25:12          -1      -1                              
    1.7952    11:25:12          -1      -1                              
    1.7453    11:25:12          -1      -1                              
    1.6982    11:25:12          -1      -1                              
    1.6535    11:25:12          -1      -1                              
    1.6111    11:25:12          -1      -1                              
    1.5708    11:25:12          -1      -1                              
    1.5325    11:25:12          -1      -1                              
    1.4960    11:25:12          -1      -1                              
    1.4612    11:25:12          -1      -1                              
    1.4280    11:25:12          -1      -1                              
    1.3963    11:25:12          -1      -1                              
    1.3659    11:25:12          -1      -1                              
    1.3368    11:25:12          -1      -1                              
    1.3090    11:25:12          -1      -1                              
    1.2823    11:25:12          -1      -1                              
    1.2566    11:25:11          -1      -1                              
    1.2320    11:25:11          -1      -1                              
    1.2083    11:25:11          -1      -1                              
    1.1855    11:25:11          -1      -1                              
    1.1636    11:25:11          -1      -1                              
    1.1424    11:25:11          -1      -1                              
    1.1220    11:25:11          -1      -1                              
    1.1023    11:25:11          -1      -1                              
    1.0833    11:25:11          -1      -1                              
    1.0649    11:25:11          -1      -1                              
    1.0472    11:25:11          -1      -1                              
    1.0300    11:25:11          -1      -1                              
    1.0134    11:25:11          -1      -1                              
    0.9973    11:25:11          -1      -1                              
    0.9817    11:25:11          -1      -1                              
    0.9666    11:25:11          -1      -1                              
    0.9520    11:25:11          -1      -1                              
    0.9378    11:25:11          -1      -1                              
    0.9240    11:25:11          -1      -1                              
    0.9106    11:25:11          -1      -1                              
    0.8976    11:25:11          -1      -1                              
    0.8850    11:25:11          -1      -1                              
    0.8727    11:25:11          -1      -1                              
    0.8607    11:25:11          -1      -1                              
    0.8491    11:25:11          -1      -1                              
    0.8378    11:25:11          -1      -1                              
    0.8267    11:25:12          -1      -1                              
    0.8160    11:25:12          -1      -1                              
    0.8055    11:25:12          -1      -1                              
    0.7953    11:25:12          -1      -1                              
    0.7854    11:25:12          -1      -1                              
    0.7757    11:25:12          -1      -1                              
    0.7662    11:25:12          -1      -1                              
    0.7570    11:25:12          -1      -1                              
    0.7480    11:25:12          -1      -1                              
    0.7392    11:25:12          -1      -1                              
    0.7306    11:25:12          -1      -1                              
    0.7222    11:25:12          -1      -1                              
    0.7140    11:25:12          -1      -1                              
    0.7060    11:25:12          -1      -1                              
    0.6981    11:25:12          -1      -1                              
    0.6905    11:25:12          -1      -1                              
    0.6830    11:25:12          -1      -1                              
    0.6756    11:25:12          -1      -1                              
    0.6684    11:25:12          -1      -1                              
    0.6614    11:25:12          -1      -1                              
    0.6545    11:25:12          -1      -1                              
    0.6478    11:25:12          -1      -1                              
    0.6411    11:25:12          -1      -1                              
    0.6347    11:25:12          -1      -1                              
    0.6283    11:25:12          -1      -1                              
    0.6221    11:25:11          -1      -1                              
    0.6160    11:25:11          -1      -1                              
    0.6100    11:25:11          -1      -1                              
    0.6042    11:25:11          -1      -1                              
    0.5984    11:25:11          -1      -1                              
    0.5928    11:25:11          -1      -1                              
    0.5872    11:25:11          -1      -1                              
    0.5818    11:25:11          -1      -1                              
    0.5764    11:25:11          -1      -1                              
    0.5712    11:25:11          -1      -1                              
    0.5661    11:25:11          -1      -1                              
    0.5610    11:25:11          -1      -1                              
    0.5560    11:25:11          -1      -1                              
    0.5512    11:25:11          -1      -1                              
    0.5464    11:25:11          -1      -1                              
    0.5417    11:25:11          -1      -1                              
    0.5370    11:25:11          -1      -1                              
    0.5325    11:25:11          -1      -1                              
    0.5280    11:25:11          -1      -1                              
    0.5236    11:25:11          -1      -1                              
    0.5193    11:25:11          -1      -1                              
    0.5150    11:25:11          -1      -1                              
    0.5108    11:25:11          -1      -1                              
    0.5067    11:25:11          -1      -1                              
    0.5027    11:25:11          -1      -1                              
    0.4987    11:25:11          -1      -1                              
    0.4947    11:25:12          -1      -1                              
    0.4909    11:25:12          -1      -1                              
    0.4871    11:25:12          -1      -1                              
    0.4833    11:25:12          -1      -1                              
    0.4796    11:25:12          -1      -1                              
    0.4760    11:25:12          -1      -1                              
    0.4724    11:25:12          -1      -1                              
    0.4689    11:25:12          -1      -1                              
    0.4654    11:25:12          -1      -1                              
    0.4620    11:25:12          -1      -1                              
    0.4586    11:25:12          -1      -1                              
    0.4553    11:25:12          -1      -1                              
    0.4520    11:25:12          -1      -1                              
    0.4488    11:25:12          -1      -1                              
    0.4456    11:25:12          -1      -1                              
    0.4425    11:25:12          -1      -1                              
    0.4394    11:25:12          -1      -1                              
    0.4363    11:25:12          -1      -1                              
    0.4333    11:25:12          -1      -1                              
    0.4304    11:25:12          -1      -1                              
    0.4274    11:25:12          -1      -1                              
    0.4245    11:25:12          -1      -1                              
    0.4217    11:25:12          -1      -1                              
    0.4189    11:25:12          -1      -1                              
    0.4161    11:25:11          -1      -1                              
    0.4134    11:25:11          -1      -1                              
    0.4107    11:25:11          -1      -1                              
    0.4080    11:25:11          -1      -1                              
    0.4054    11:25:11          -1      -1                              
    0.4028    11:25:11          -1      -1                              
    0.4002    11:25:11          -1      -1                              
    0.3977    11:25:11          -1      -1                              
    0.3952    11:25:11          -1      -1                              
    0.3927    11:25:11          -1      -1                              
    0.3903    11:25:11          -1      -1                              
    0.3879    11:25:11          -1      -1                              
    0.3855    11:25:11          -1      -1                              
    0.3831    11:25:11          -1      -1                              
    0.3808    11:25:11          -1      -1                              
    0.3785    11:25:11          -1      -1                              
    0.3762    11:25:11          -1      -1                              
    0.3740    11:25:11          -1      -1                              
    0.3718    11:25:11          -1      -1                              
    0.3696    11:25:11          -1      -1                              
    0.3674    11:25:11          -1      -1                              
    0.3653    11:25:11          -1      -1                              
    0.3632    11:25:11          -1      -1                              
    0.3611    11:25:11          -1      -1                              
    0.3590    11:25:11          -1      -1                              
    0.3570    11:25:11          -1      -1                              
    0.3550    11:25:12          -1      -1                              
    0.3530    11:25:12          -1      -1                              
    0.3510    11:25:12          -1      -1                              
    0.3491    11:25:12          -1      -1                              
    0.3471    11:25:12          -1      -1                              
    0.3452    11:25:12          -1      -1                              
    0.3433    11:25:12          -1      -1                              
    0.3415    11:25:12          -1      -1                              
    0.3396    11:25:12          -1      -1                              
    0.3378    11:25:12          -1      -1                              
